#! FIELDS time p.sss p.zzz
# Step 1: self-projection of the 15 reference frames through production PATHMSD (LAMBDA=379.77).
# Driver-local renumbered copy used (FP-030); production path_gromacs.pdb unchanged.
# Source: Longleaf plumed 2.9.2, 2026-04-21.
 0.000000     1.091318    -0.000252
 1.000000     2.000158    -0.000482
 2.000000     2.999978    -0.000482
 3.000000     4.000065    -0.000482
 4.000000     4.999950    -0.000482
 5.000000     6.000024    -0.000482
 6.000000     6.999970    -0.000482
 7.000000     8.000011    -0.000482
 8.000000     9.000034    -0.000482
 9.000000     9.999949    -0.000482
10.000000    11.000040    -0.000482
11.000000    11.999966    -0.000482
12.000000    13.000016    -0.000482
13.000000    13.999819    -0.000481
14.000000    14.908700    -0.000252
